message_size,throughput,strategy,local_network_size,foreign_network_size
100,14081.104444218448,Kafka,19,19
100,21235.70813712087,Kafka,19,19
1000,5610.568406134535,Kafka,19,19
1000,5292.345029831125,Kafka,19,19
1000,5187.622641509434,Kafka,19,19
1000,4279.605761940864,Kafka,19,19
1000,4266.828258344695,Kafka,19,19
1000,5089.294723035012,Kafka,19,19
1000,4468.4247751844,Kafka,19,19
1000,5152.035559147389,Kafka,19,19
1000,4705.977382875606,Kafka,19,19
1000,4921.521035598706,Kafka,19,19
1000,5517.185604528912,Kafka,19,19
1000,7089.969604863222,Kafka,19,19
1000,4788.138584900903,Kafka,19,19
1000,6174.287305686365,Kafka,19,19
1000,5494.278481012659,Kafka,19,19
1000,5849.827970046549,Kafka,19,19
1000,6428.440832910106,Kafka,19,19
1000,5633.867967218061,Kafka,19,19
1000,6252.483692925239,Kafka,19,19
1000,5353.018505410052,Kafka,19,19
1000,6327.06900942195,Kafka,19,19
1000,5211.202102921849,Kafka,19,19
1000,5488.16942797791,Kafka,19,19
1000,5360.8247422680415,Kafka,19,19
1000,5249.494541043267,Kafka,19,19
1000,4442.42516028068,Kafka,19,19
1000,5016.124125342257,Kafka,19,19
1000,4464.1039850874095,Kafka,19,19
1000,5047.012435547467,Kafka,19,19
1000,4135.906714917571,Kafka,19,19
1000,6450.516089860353,Kafka,19,19
1000,4266.235407085461,Kafka,19,19
1000,5594.252757259942,Kafka,19,19
1000,5314.337678084268,Kafka,19,19
1000,5166.345275550594,Kafka,19,19
1000,5548.745393042864,Kafka,19,19
1000,5881.766888629086,Kafka,19,19
1000,5666.565809379728,Kafka,19,19
10000,699.5945261023821,Kafka,19,19
10000,380.1323165496692,Kafka,19,19
10000,415.1429437316901,Kafka,19,19
10000,795.570612327451,Kafka,19,19
10000,421.54684975767367,Kafka,19,19
10000,410.7133816009316,Kafka,19,19
10000,396.85826851197095,Kafka,19,19
10000,418.9257535909367,Kafka,19,19
10000,412.9863567458312,Kafka,19,19
10000,419.29762327066334,Kafka,19,19
10000,427.8420866400445,Kafka,19,19
10000,380.2099101826622,Kafka,19,19
10000,417.1004093183081,Kafka,19,19
10000,429.23574605742016,Kafka,19,19
10000,413.8644855094416,Kafka,19,19
10000,625.2022653721683,Kafka,19,19
10000,421.5681324784168,Kafka,19,19
10000,390.43824701195217,Kafka,19,19
10000,462.3487111966375,Kafka,19,19
10000,400.804972488282,Kafka,19,19
10000,484.00626610743336,Kafka,19,19
10000,315.46746220356977,Kafka,19,19
10000,337.809865199172,Kafka,19,19
10000,379.4654135718256,Kafka,19,19
10000,460.3661603460416,Kafka,19,19
10000,418.42717072677647,Kafka,19,19
10000,415.0637780927313,Kafka,19,19
10000,398.6084501361299,Kafka,19,19
10000,401.9196766860318,Kafka,19,19
10000,421.2932723709994,Kafka,19,19
10000,435.0616535273903,Kafka,19,19
10000,406.0511162743712,Kafka,19,19
10000,381.6820917412633,Kafka,19,19
10000,394.7968963943405,Kafka,19,19
10000,348.83838383838383,Kafka,19,19
10000,402.1305599030646,Kafka,19,19
10000,478.91963109354407,Kafka,19,19
100000,31.281584798868,Kafka,19,19
100000,33.493772639309285,Kafka,19,19
100000,31.734132933533232,Kafka,19,19
100000,32.44379912882391,Kafka,19,19
100000,28.34008097165992,Kafka,19,19
100000,26.711436303498044,Kafka,19,19
100000,32.06584860879664,Kafka,19,19
100000,30.56438190346497,Kafka,19,19
100000,31.933618305255216,Kafka,19,19
100000,34.005037783375315,Kafka,19,19
100000,26.416809778765533,Kafka,19,19
100000,31.25,Kafka,19,19
100000,26.65666416604151,Kafka,19,19
100000,28.84137245151666,Kafka,19,19
100000,65.91174529020464,Kafka,19,19
100000,28.20874471086037,Kafka,19,19
100000,32.00766167649579,Kafka,19,19
100000,33.44768439108062,Kafka,19,19
100000,28.5728582866293,Kafka,19,19
100000,34.33184205407508,Kafka,19,19
100000,34.817012858555884,Kafka,19,19
100000,34.602598972499244,Kafka,19,19
100000,27.47002580057672,Kafka,19,19
100000,28.53384599817869,Kafka,19,19
100000,35.25416957954659,Kafka,19,19
100000,33.159163987138264,Kafka,19,19
100000,32.67511741831221,Kafka,19,19
100000,33.52068459162489,Kafka,19,19
100000,29.73285707098657,Kafka,19,19
100000,26.77376171352075,Kafka,19,19
100000,32.655327310351794,Kafka,19,19
100000,34.42730059808012,Kafka,19,19
100000,33.81183414194968,Kafka,19,19
100000,32.160254498459096,Kafka,19,19
100000,28.82418704126768,Kafka,19,19
100000,52.40828550037435,Kafka,19,19
100000,28.912818999852487,Kafka,19,19
100000,29.50490072882634,Kafka,19,19
1000000,3.5387493048885297,Kafka,19,19
1000000,4.25,Kafka,19,19
1000000,3.129732458354366,Kafka,19,19
1000000,3.385548256695301,Kafka,19,19
1000000,3.484840941902723,Kafka,19,19
1000000,2.9612527604898617,Kafka,19,19
1000000,3.120753007499874,Kafka,19,19
1000000,2.80941152862088,Kafka,19,19
1000000,3.474320241691843,Kafka,19,19
1000000,2.6587739540483595,Kafka,19,19
1000000,2.7305825242718447,Kafka,19,19
1000000,2.7731828354578187,Kafka,19,19
1000000,2.7789756120933355,Kafka,19,19
1000000,2.5617477886799747,Kafka,19,19
1000000,2.664387693545144,Kafka,19,19
1000000,2.371342078708375,Kafka,19,19
1000000,2.696739396911008,Kafka,19,19
1000000,3.096424597222894,Kafka,19,19
1000000,2.670025188916876,Kafka,19,19
1000000,2.4370430544272947,Kafka,19,19
1000000,2.8777704851820065,Kafka,19,19
1000000,3.070881997583568,Kafka,19,19
1000000,3.013833992094862,Kafka,19,19
1000000,3.02999697000303,Kafka,19,19
1000000,3.2293874255727117,Kafka,19,19
1000000,2.7863182167563414,Kafka,19,19
1000000,3.662084880104344,Kafka,19,19
1000000,3.1952122533854035,Kafka,19,19
1000000,3.5833249217724843,Kafka,19,19
1000000,5.344447168423633,Kafka,19,19
1000000,2.677714343454757,Kafka,19,19
1000000,3.272910372608258,Kafka,19,19
1000000,3.6237354673108864,Kafka,19,19
1000000,3.1141694710934757,Kafka,19,19
1000000,2.695821476711098,Kafka,19,19
1000000,3.8808527795978014,Kafka,19,19
1000000,3.107769423558897,Kafka,19,19
